clientFirstName,clientLastName,clientPhoneNumber,clientCountry,clientStreetAddress
Alan,Harris,72118154222,RU,7694 Bultman Crossing
Patrick,King,625688695296,ID,86 Emmet Lane
Margaret,Long,863025683949,CH,8 Clyde Gallagher Court
Nicole,Rivera,2241361479443,GN,155 New Castle Center
Jesse,Mills,865128826176,CH,0423 Onsgard Crossing
Lisa,Bailey,511659460541,PE,2345 New Castle Trail
Wanda,Smith,3595881934838,BG,00540 Carey Place
Kathy,Washington,5939664540775,EC,972 Veith Alley
Wanda,Burton,868472790764,CH,6 Schiller Avenue
Larry,Williams,3743102408661,AM,98 Lillian Court
